GAMEID,GAMEDATE,QUARTER,MINUTE,SECOND,OFFENSETEAM,DEFENSETEAM,DOWN,TOGO,YARDLINE,DESCRIPTION,SEASONYEAR,YARDS,FORMATION,PLAYTYPE,PASSTYPE,RUSHDIRECTION,YARDLINEFIXED,YARDLINEDIRECTION,PLAY
2016090800,2016-09-08,1,4,58,DEN,CAR,2,11,49,(4:58) (SHOTGUN) 13-T.SIEMIAN PASS SHORT RIGHT TO 22-C.ANDERSON TO CAR 30 FOR 21 YARDS (58-T.DAVIS).,2016,21,SHOTGUN,PASS,SHORT RIGHT,,49,OWN,PASS
2016090800,2016-09-08,1,8,55,CAR,DEN,1,10,64,(8:55) (SHOTGUN) 19-T.GINN LEFT END TO DEN 16 FOR 20 YARDS (26-D.STEWART).,2016,20,SHOTGUN,RUSH,,LEFT END,36,OPP,RUSH
2016090800,2016-09-08,1,0,55,CAR,DEN,2,10,36,(:55) 28-J.STEWART LEFT GUARD TO CAR 40 FOR 4 YARDS (95-D.WOLFE).,2016,4,UNDER CENTER,RUSH,,LEFT GUARD,36,OWN,RUSH
2016090800,2016-09-08,1,1,48,DEN,CAR,2,10,84,(1:48) 13-T.SIEMIAN SACKED AT CAR 25 FOR -9 YARDS (92-V.BUTLER).,2016,-9,UNDER CENTER,SACK,,,16,OPP,PASS
2016090800,2016-09-08,1,6,48,DEN,CAR,1,10,39,(6:48) (SHOTGUN) 22-C.ANDERSON UP THE MIDDLE TO DEN 42 FOR 3 YARDS (99-K.SHORT).,2016,3,SHOTGUN,RUSH,,CENTER,39,OWN,RUSH
2016090800,2016-09-08,1,11,47,DEN,CAR,2,5,71,"(11:47) 23-D.BOOKER RIGHT GUARD TO CAR 29 FOR NO GAIN (95-C.JOHNSON). FUMBLES (95-C.JOHNSON), RECOVERED BY CAR-54-S.THOMPSON AT CAR 29. 54-S.THOMPSON TO CAR 29 FOR NO GAIN (23-D.BOOKER).",2016,0,UNDER CENTER,RUSH,,RIGHT GUARD,29,OPP,RUSH
2016090800,2016-09-08,1,13,42,DEN,CAR,1,10,48,(13:42) 13-T.SIEMIAN PASS SHORT RIGHT TO 10-E.SANDERS TO CAR 47 FOR 5 YARDS (27-R.MCCLAIN).,2016,5,UNDER CENTER,PASS,SHORT RIGHT,,48,OWN,PASS
2016090800,2016-09-08,1,3,40,DEN,CAR,2,4,76,(3:40) 23-D.BOOKER RIGHT GUARD TO CAR 22 FOR 2 YARDS (58-T.DAVIS).,2016,2,UNDER CENTER,RUSH,,RIGHT GUARD,24,OPP,RUSH
2016090800,2016-09-08,1,9,39,CAR,DEN,2,9,47,(9:39) (SHOTGUN) 1-C.NEWTON PASS INCOMPLETE SHORT MIDDLE TO 88-G.OLSEN (43-T.WARD).,2016,0,SHOTGUN,PASS,SHORT MIDDLE,,47,OWN,PASS
2016090800,2016-09-08,1,5,38,DEN,CAR,1,10,50,(5:38) 22-C.ANDERSON RIGHT GUARD TO DEN 49 FOR -1 YARDS (59-L.KUECHLY).,2016,-1,UNDER CENTER,RUSH,,RIGHT GUARD,50,OPP,RUSH
2016090800,2016-09-08,1,11,37,CAR,DEN,1,10,29,(11:37) 28-J.STEWART UP THE MIDDLE TO CAR 35 FOR 6 YARDS (54-B.MARSHALL).,2016,6,UNDER CENTER,RUSH,,CENTER,29,OWN,RUSH
2016090800,2016-09-08,1,9,35,CAR,DEN,3,9,47,(9:35) (SHOTGUN) 1-C.NEWTON PASS DEEP MIDDLE TO 13-K.BENJAMIN TO DEN 36 FOR 17 YARDS (31-J.SIMMONS).,2016,17,SHOTGUN,PASS,DEEP MIDDLE,,47,OWN,PASS
2016090800,2016-09-08,1,12,23,DEN,CAR,1,10,66,(12:23) 22-C.ANDERSON RIGHT GUARD TO CAR 29 FOR 5 YARDS (27-R.MCCLAIN).,2016,5,UNDER CENTER,RUSH,,RIGHT GUARD,34,OPP,RUSH
2016090800,2016-09-08,1,2,22,DEN,CAR,1,10,84,(2:22) 22-C.ANDERSON LEFT GUARD TO CAR 16 FOR NO GAIN (59-L.KUECHLY).,2016,0,UNDER CENTER,RUSH,,LEFT GUARD,16,OPP,RUSH
