,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,Formation,Play
5,2,9,48,WAS,MIA,2,2,20,UNDER CENTER,RUSH
6,2,9,13,WAS,MIA,1,10,24,UNDER CENTER,PASS
7,4,2,33,WAS,MIA,2,11,76,SHOTGUN,PASS
8,1,4,57,BUF,IND,2,20,37,UNDER CENTER,PASS
10,3,14,4,BUF,IND,1,10,68,UNDER CENTER,PASS
11,3,13,27,BUF,IND,2,7,71,UNDER CENTER,RUSH
13,4,13,33,BUF,IND,4,17,13,PUNT,KICK
15,1,8,20,CLE,NYJ,3,1,28,SHOTGUN,PASS
16,1,7,26,CLE,NYJ,2,9,40,UNDER CENTER,RUSH
18,2,2,0,NYJ,CLE,2,2,47,SHOTGUN,PASS
20,3,10,52,CLE,NYJ,3,7,37,SHOTGUN,PASS
22,3,4,49,KC,HOU,1,10,35,UNDER CENTER,PASS
23,3,4,42,KC,HOU,2,10,35,SHOTGUN,PASS
24,4,3,26,KC,HOU,2,6,24,UNDER CENTER,PASS
25,4,1,22,KC,HOU,1,10,50,UNDER CENTER,RUSH
26,1,7,20,NO,ARI,2,1,41,UNDER CENTER,RUSH
27,3,9,2,NO,ARI,1,10,43,UNDER CENTER,RUSH
30,4,14,28,SD,DET,2,7,50,SHOTGUN,PASS
32,4,14,12,BAL,DEN,2,10,35,UNDER CENTER,PASS
34,2,13,41,OAK,CIN,4,6,47,PUNT,KICK
35,3,7,50,CIN,OAK,1,10,15,UNDER CENTER,PASS
36,3,0,47,OAK,CIN,2,6,32,NO HUDDLE SHOTGUN,PASS
37,1,10,16,TEN,TB,1,10,37,UNDER CENTER,RUSH
38,1,0,41,TB,TEN,2,7,93,UNDER CENTER,PASS
39,2,6,39,TEN,TB,2,9,73,UNDER CENTER,RUSH
40,2,0,48,TB,TEN,1,10,20,SHOTGUN,PASS
41,4,14,21,TEN,TB,1,15,60,UNDER CENTER,RUSH
42,4,12,36,TB,TEN,1,10,28,UNDER CENTER,RUSH
43,4,2,12,TEN,TB,1,10,16,UNDER CENTER,RUSH
45,1,6,36,DAL,NYG,2,10,85,SHOTGUN,PASS
48,3,1,50,DAL,NYG,2,6,12,UNDER CENTER,RUSH
49,3,1,4,DAL,NYG,3,5,13,SHOTGUN,PASS
51,2,7,11,ATL,PHI,1,10,23,UNDER CENTER,PASS
53,3,13,20,PHI,ATL,2,8,92,NO HUDDLE SHOTGUN,RUSH
56,2,15,0,SF,MIN,3,14,25,SHOTGUN,PASS
57,2,14,56,SF,MIN,4,14,25,PUNT,KICK
60,3,8,42,SF,MIN,1,10,31,SHOTGUN,RUSH
61,3,0,26,MIN,SF,1,10,77,UNDER CENTER,PASS
63,2,11,56,KC,DEN,2,6,26,UNDER CENTER,RUSH
64,2,4,30,DEN,KC,1,10,52,NO HUDDLE SHOTGUN,PASS
65,4,12,22,KC,DEN,2,10,30,SHOTGUN,PASS
66,4,4,58,DEN,KC,3,5,35,SHOTGUN,PASS
67,4,4,51,DEN,KC,4,5,35,PUNT,KICK
68,1,13,52,HOU,CAR,4,16,22,PUNT,KICK
69,1,0,43,CAR,HOU,2,10,62,SHOTGUN,PASS
71,2,15,0,CAR,HOU,3,13,59,SHOTGUN,PASS
72,2,10,5,CAR,HOU,1,10,39,SHOTGUN,RUSH
73,2,0,35,CAR,HOU,1,10,9,UNDER CENTER,RUSH
74,2,0,19,CAR,HOU,1,10,20,UNDER CENTER,RUSH
75,3,7,56,CAR,HOU,2,8,22,UNDER CENTER,PASS
76,3,7,19,CAR,HOU,1,10,31,NO HUDDLE SHOTGUN,PASS
77,4,9,2,CAR,HOU,1,10,64,UNDER CENTER,PASS
79,4,2,39,HOU,CAR,2,10,43,SHOTGUN,RUSH
80,1,14,22,BUF,NE,2,6,24,SHOTGUN,PASS
81,1,13,49,BUF,NE,1,10,47,SHOTGUN,RUSH
82,1,6,42,BUF,NE,4,15,23,PUNT,KICK
83,2,9,18,BUF,NE,3,3,59,SHOTGUN,PASS
84,2,4,20,NE,BUF,1,10,27,NO HUDDLE,RUSH
86,3,10,6,NE,BUF,4,3,97,FIELD GOAL,KICK
88,3,4,15,NE,BUF,2,9,67,NO HUDDLE SHOTGUN,PASS
90,4,8,15,NE,BUF,4,1,59,UNDER CENTER,PASS
91,4,8,10,BUF,NE,1,10,41,SHOTGUN,RUSH
92,4,4,16,NE,BUF,1,10,20,UNDER CENTER,PASS
93,1,5,42,SD,CIN,1,10,52,UNDER CENTER,RUSH
94,1,5,6,SD,CIN,2,9,53,SHOTGUN,RUSH
95,1,4,13,CIN,SD,1,10,42,SHOTGUN,PASS
96,2,12,25,SD,CIN,2,8,65,SHOTGUN,PASS
97,2,11,52,SD,CIN,1,10,77,UNDER CENTER,RUSH
98,2,5,28,SD,CIN,2,5,25,SHOTGUN,PASS
99,2,4,54,SD,CIN,3,2,28,SHOTGUN,PASS
100,3,11,52,SD,CIN,1,10,70,SHOTGUN,PASS
101,3,3,51,CIN,SD,2,4,90,UNDER CENTER,RUSH
104,1,7,11,CLE,TEN,1,10,72,SHOTGUN,PASS
105,1,0,46,TEN,CLE,2,7,58,UNDER CENTER,RUSH
106,2,0,53,TEN,CLE,1,10,20,SHOTGUN,PASS
107,3,6,36,CLE,TEN,2,10,31,UNDER CENTER,PASS
108,4,12,55,TEN,CLE,1,10,35,SHOTGUN,PASS
109,4,3,7,CLE,TEN,2,8,48,UNDER CENTER,RUSH
110,1,5,7,NYG,ATL,3,10,44,NO HUDDLE SHOTGUN,PASS
111,2,15,0,NYG,ATL,2,9,36,SHOTGUN,PASS
112,2,14,54,NYG,ATL,3,9,36,NO HUDDLE SHOTGUN,PASS
113,3,13,24,NYG,ATL,1,10,42,NO HUDDLE,RUSH
115,3,4,15,ATL,NYG,1,10,9,UNDER CENTER,PASS
116,4,10,17,NYG,ATL,2,8,43,NO HUDDLE SHOTGUN,RUSH
117,4,9,51,NYG,ATL,1,10,54,NO HUDDLE SHOTGUN,PASS
119,4,3,23,NYG,ATL,4,7,39,PUNT,KICK
121,3,13,2,WAS,LA,4,15,15,PUNT,KICK
122,3,5,29,WAS,LA,4,8,32,PUNT,KICK
125,1,13,36,CHI,ARI,1,10,41,NO HUDDLE,RUSH
126,1,12,58,CHI,ARI,2,9,42,NO HUDDLE SHOTGUN,PASS
